symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl
SOL/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS",32,22,10,68.75,35.41,1.11
SOL/USDT:USDT,1h,"RSX,WT,EMA,BOS",32,22,10,68.75,35.41,1.11
SOL/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS,SWEEP",65,35,30,53.85,34.74,0.53
SOL/USDT:USDT,1h,"RSX,WT,EMA,BOS,SWEEP",59,30,29,50.85,29.91,0.51
SOL/USDT:USDT,1h,"RSI,WT,EMA,BOS",27,18,9,66.67,29.67,1.1
SOL/USDT:USDT,1h,"WT,EMA,BOS",27,18,9,66.67,29.67,1.1
SOL/USDT:USDT,1h,"WT,EMA,BOS,SWEEP",52,25,27,48.08,23.07,0.44
SOL/USDT:USDT,1h,"RSI,WT,EMA,BOS,SWEEP",53,25,28,47.17,22.53,0.43
BTC/USDT:USDT,4h,"RSX,WT,EMA,SWEEP",9,6,3,66.67,14.64,1.63
ETH/USDT:USDT,1h,"RSI,RSX,WT,EMA,SWEEP",36,15,21,41.67,13.59,0.38
BTC/USDT:USDT,4h,"RSI,RSX,WT,EMA,SWEEP",13,8,5,61.54,12.29,0.95
SOL/USDT:USDT,15m,"WT,EMA,BOS,SWEEP",29,15,14,51.72,12.03,0.41
ETH/USDT:USDT,4h,"RSX,WT,EMA,SWEEP",13,7,6,53.85,11.95,0.92
BTC/USDT:USDT,4h,"RSX,WT,EMA,BOS,SWEEP",37,19,18,51.35,11.49,0.31
SOL/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",30,15,15,50.0,11.19,0.37
SOL/USDT:USDT,15m,"WT,EMA,SWEEP",23,11,12,47.83,11.02,0.48
ETH/USDT:USDT,1h,"RSX,WT,EMA,SWEEP",34,14,20,41.18,11.01,0.32
ETH/USDT:USDT,4h,"RSI,WT,EMA,SWEEP",9,5,4,55.56,11.0,1.22
ETH/USDT:USDT,4h,"WT,EMA,SWEEP",9,5,4,55.56,11.0,1.22
DOGE/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS",26,15,11,57.69,10.74,0.41
ETH/USDT:USDT,4h,"RSI,RSX,WT,EMA,SWEEP",16,8,8,50.0,10.26,0.64
