symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl,best_trade,worst_trade
SOL/USDT:USDT,1h,"RSX,WT,EMA,BOS",32,23,9,71.88,19.8,0.6189,3.0,-1.0
SOL/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS",32,23,9,71.88,19.8,0.6189,3.0,-1.0
SOL/USDT:USDT,15m,"WT,EMA,SWEEP",23,17,6,73.91,16.61,0.7222,3.0,-1.0
BTC/USDT:USDT,4h,"RSX,WT,EMA,BOS",30,24,6,80.0,15.92,0.5308,3.0,-1.0
BTC/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS",30,24,6,80.0,15.92,0.5308,3.0,-1.0
SOL/USDT:USDT,1h,"WT,EMA,BOS",27,19,8,70.37,15.92,0.5897,3.0,-1.0
SOL/USDT:USDT,1h,"RSI,WT,EMA,BOS",27,19,8,70.37,15.92,0.5897,3.0,-1.0
SOL/USDT:USDT,15m,"RSX,WT,EMA,SWEEP",27,19,8,70.37,15.76,0.5838,3.0,-1.0
SOL/USDT:USDT,15m,"RSI,WT,EMA,SWEEP",24,17,7,70.83,15.61,0.6505,3.0,-1.0
SOL/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS,SWEEP",64,35,29,54.69,15.46,0.2415,3.0,-1.0
BTC/USDT:USDT,4h,"RSX,WT,EMA,BOS,SWEEP",31,24,7,77.42,14.92,0.4814,3.0,-1.0
SOL/USDT:USDT,1h,"RSX,WT,EMA,BOS,SWEEP",58,31,27,53.45,14.6,0.2517,3.0,-1.0
DOGE/USDT:USDT,4h,"WT,EMA,BOS",16,11,5,68.75,14.3,0.8934,3.0,-1.0
DOGE/USDT:USDT,4h,"RSI,WT,EMA,BOS",16,11,5,68.75,14.3,0.8934,3.0,-1.0
DOGE/USDT:USDT,4h,"RSX,WT,EMA,BOS",17,11,6,64.71,13.3,0.7821,3.0,-1.0
DOGE/USDT:USDT,4h,"WT,EMA,BOS,SWEEP",17,11,6,64.71,13.3,0.7821,3.0,-1.0
DOGE/USDT:USDT,4h,"RSI,WT,EMA,BOS,SWEEP",17,11,6,64.71,13.3,0.7821,3.0,-1.0
SOL/USDT:USDT,15m,"WT,EMA,BOS,SWEEP",29,19,10,65.52,13.23,0.4561,3.0,-1.0
BTC/USDT:USDT,4h,"WT,EMA,BOS",28,22,6,78.57,12.59,0.4496,3.0,-1.0
BTC/USDT:USDT,4h,"RSI,WT,EMA,BOS",28,22,6,78.57,12.59,0.4496,3.0,-1.0
BTC/USDT:USDT,4h,"WT,EMA,BOS,SWEEP",28,22,6,78.57,12.59,0.4496,3.0,-1.0
BTC/USDT:USDT,4h,"RSI,WT,EMA,BOS,SWEEP",28,22,6,78.57,12.59,0.4496,3.0,-1.0
SOL/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",33,21,12,63.64,12.38,0.3751,3.0,-1.0
DOGE/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS",18,11,7,61.11,12.3,0.6831,3.0,-1.0
DOGE/USDT:USDT,4h,"RSX,WT,EMA,BOS,SWEEP",18,11,7,61.11,12.3,0.6831,3.0,-1.0
SOL/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",30,19,11,63.33,12.23,0.4076,3.0,-1.0
BTC/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS,SWEEP",35,25,10,71.43,12.19,0.3482,3.0,-1.0
ETH/USDT:USDT,15m,"RSI,WT,EMA,SWEEP",19,14,5,73.68,11.86,0.6242,2.16,-1.0
ETH/USDT:USDT,15m,"WT,EMA,SWEEP",17,12,5,70.59,11.3,0.6647,2.16,-1.0
SOL/USDT:USDT,15m,"RSI,RSX,WT,EMA,SWEEP",36,21,15,58.33,10.35,0.2874,3.0,-1.0
ETH/USDT:USDT,15m,"RSX,WT,EMA,SWEEP",20,13,7,65.0,9.57,0.4785,2.16,-1.0
DOGE/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS,SWEEP",21,11,10,52.38,9.3,0.4426,3.0,-1.0
SOL/USDT:USDT,1h,"RSI,WT,EMA,BOS,SWEEP",52,27,25,51.92,9.05,0.174,3.0,-1.0
SOL/USDT:USDT,1h,"WT,EMA,BOS,SWEEP",51,26,25,50.98,8.71,0.1708,3.0,-1.0
ETH/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",24,15,9,62.5,8.12,0.3381,2.16,-1.0
DOGE/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS,SWEEP",49,25,24,51.02,7.8,0.1592,3.0,-1.0
ETH/USDT:USDT,15m,"WT,EMA,BOS,SWEEP",22,13,9,59.09,7.55,0.3434,2.16,-1.0
BTC/USDT:USDT,15m,"WT,EMA,SWEEP",28,20,8,71.43,7.48,0.2671,1.42,-1.0
BTC/USDT:USDT,15m,"RSI,WT,EMA,SWEEP",28,20,8,71.43,7.48,0.2671,1.42,-1.0
